rank,project,theme,impact_score_100,user_experience_1_5,adoption_1_5,revenue_1_5,strategic_leverage_1_5,transcript_evidence_confidence_1_5,posthog_behavioral_evidence_1_5,posthog_evidence_strength,estimated_effort,roadmap,evidence_mentions_meetings,explicit_signal_meetings,post_sale_or_working_sessions,primary_metric,posture,posthog_signal_summary
1,Trust Center 2.0 — Exception-First Document Review,Defensible underwriting,97,5,5,5,5,5,4,"Strong, narrow cohort",L,Now,353,276,59,Median minutes from extraction complete to approved model inputs,Deepen an existing core capability,"Cactus 2.0: 29 of 34 test-filtered users completed extraction within one day (85.3%); median conversion was 40.8 seconds and average was 105.5 seconds. Across raw pipeline events, 514 extraction completions covered 41 users. Confidence verification averaged 0.766 confidence and 948.8 source matches across 1,362.1 verified facts per run. Workflow routes logged 1,422 exceptions affecting 35 external users, although a benign ResizeObserver issue dominates the grouped error list."
2,Market Intelligence — Evidence-Backed Comps and Memory,Differentiation and repeat usage,96,5,5,4,5,5,5,Strong and broad,XL,Next,433,266,69,Percentage of material market assumptions with approved supporting evidence,Deepen current Market Intelligence and Proprietary Memory,"Cactus 2.0 external usage: market-analysis generated 1,415 submitted messages from 85 users across 50 organizations (16.6 messages per user), making it the broadest verified custom workflow in the current product."
3,Instant Deal Screen — Intake-to-Go/No-Go,Throughput and daily habit,94,5,5,4,4,5,5,Strong legacy habit; migration gap,M,Now,182,99,44,Median time from package receipt to recorded go/no-go decision,Complete and simplify an existing screening capability,"Cactus 1.0 external identified usage: Quick Analysis generated 100,593 pageviews from 215 users over the last twelve months (467.9 views per user). The comparable Cactus 2.0 quick-analysis route recorded only 18 pageviews from 3 users, indicating a valuable legacy job that has not visibly migrated."
4,Model Studio — Formula-Aware Excel Roundtrip,Workflow fit and enterprise conversion,93,5,4,5,5,5,4,Strong technical signal; moderate reach,XL,Next,289,184,40,Percentage of pilot models that tie out within agreed tolerance,Turn current custom-model support into a productized moat,"Cactus 2.0 recorded 342 Excel extraction completions across 31 users: 327 successes and 15 failures (95.6% event-level success), with successful runs averaging 147.6 seconds. Several workbook-related LLM steps show 18–40% failure rates, and active error tracking includes worksheet-name collisions."
5,Guided Activation — First Defensible Deal,Trial conversion and adoption,92,5,5,4,3,5,5,Strong growth constraint,M,Now,509,453,115,Percentage of trials reaching an approved/exported first deal,Redesign the first-run experience around time-to-value,"Only 91 of 329 test-filtered Cactus 2.0 signups reached a meaningful action (chat submission, extraction start, or template creation) within 14 days: 27.7% conversion. Converters reached value quickly (median 8.0 minutes), so the primary problem is getting more new users onto the successful path. Mature identified-user cohorts retained at 43.3% in week 1 and 18.6% in week 4, with small denominators."
6,Scenario Lab — Conversational Sensitivity With Controls,Decision quality and engagement,84,5,4,4,4,4,4,Strong adjacent behavior; missing scenario event,L,Next,344,216,72,Scenario creation completion rate without analyst support,Unify current sensitivity and AI capabilities,"Cactus 2.0 chat is established: 90 of 106 test-filtered submitters received an assistant completion within ten minutes (84.9%), with a 2.1-second median and 16.2-second average. No dedicated scenario-created, confirmed-change, or scenario-compared event exists, so scenario demand is inferred from chat and transcripts rather than directly measured."
7,"Enterprise Workflow — Integrations, Roles, and Governance",Enterprise revenue,79,4,3,5,5,4,3,Early but measurable,L,Next,329,213,53,Enterprise pilots reaching multi-user production deployment,Productize the Max-plan platform layer,Cactus 2.0 logged 36 organization invitations from 18 organizations and 23 acceptances across 15 organizations. The roughly 64% event-level acceptance ratio is directional because sent and accepted events are not joined by invite.
8,"Development Underwriter — Cost, Draw, and Stabilization",Segment expansion,74,4,3,5,4,4,2,Technical pain; limited adoption evidence,XL,Later,242,149,55,Development models completed and approved without offline rebuild,Deepen a current launch workflow without becoming project management,"Cactus 2.0 LLM steps tied to development-style tables show elevated failure: Unit Mix Table 40.9%, Project Stages Table 26.3%, and several cost-table steps 22–26%. Samples are small and do not establish a large active development cohort."
9,"Decision Packages — Source-Linked IC, Lender, and Client Outputs",Workflow completion and sharing,68,4,3,4,3,4,2,Weak or under-instrumented,M,Later,136,79,28,Median time from approved underwriting to shared decision package,A fast-follow workflow-completion win,"Cactus 2.0 recorded 39 chat-share events across 13 users, while external report routes reached only 2 users. Package generation, approval, live views, export, and downstream decision events are not instrumented."
10,Commercial Lease Intelligence — Multi-Tenant Underwriting,New asset-class revenue,67,4,2,5,4,4,1,Very early sample,XL,Later,56,31,7,Analyst hours to produce an approved tenant rollover schedule,Advance from lease due diligence to a narrow commercial underwriting beta,"The test-filtered Cactus 2.0 rent-roll funnel included 4 triggering users and 2 completions within 30 minutes (50%; 74.9-second median among converters). Raw completion events covered only 6 users, too small for a broad build decision."
