business_impact_rank,execution_order,initiative,existing_project_slug,program,growth_score_100,estimated_effort,revenue_mechanism,investment_posture,horizon,primary_metric,posthog_evidence_scope,proposed_decision_gate,dependencies
Enabler,0,Growth and Revenue Telemetry,growth-revenue-telemetry,Shared platform,Enabler,M,"Revenue attribution; lower decision risk","Build immediately","Horizon 0","Evaluation-to-paid funnel coverage","Cross-version: create a stable bridge from Cactus 1.0 legacy behavior through Cactus 2.0 usage to CRM and billing outcomes","Stable account, organization, deal, approval, export, paid-conversion, CRM, billing, and environment fields are queryable end to end","Identity; CRM and billing joins; PostHog taxonomy; data ownership"
5,1,Guided Evaluation and Sage Activation,guided-activation,Self-serve growth engine,85,M,"Evaluation-to-paid conversion; lower onboarding cost","Build now","Horizons 0-1","Percentage of evaluations reaching an approved or exported first result","Cactus 2.0 current-product baseline: 91 of 329 test-filtered signups reached a meaningful action within 14 days (27.7%)","Cactus 2.0 meaningful-action conversion improves from 27.7% to at least 40%; support hours decline; quality guardrails do not worsen","Growth telemetry; sample data; Sage context and action contract; job status; payment handoff"
1,2,Trust Center 2.0 — Exception-First Document Review,trust-center-v2,Defensible underwriting core,95,L,"Conversion; retention; enterprise win rate","Build now","Horizons 0-1","Median minutes from extraction complete to approved model inputs","Cactus 2.0 current-product extraction and confidence-verification evidence","Material review time declines at least 30%; escaped material errors do not increase; 10 beta accounts complete review to approved inputs","Source metadata; confidence; model impact graph; reviewer state; audit"
3,3,Instant Deal Screen — Intake-to-Go/No-Go,instant-deal-screen,Self-serve growth engine,88,M,"New-logo conversion; repeat usage; deal throughput","Build now","Horizons 0-1","Median time from package receipt to recorded go or no-go decision","Cross-version: strong Cactus 1.0 Quick Analysis habit with a directional Cactus 2.0 migration gap","Package-to-decision time improves against concierge baseline; multiple screens per active account; false-negative review is operational","Document intake; buy-box criteria; deduplication; job state; promotion to underwriting"
4,4,Market Intelligence — Evidence-Backed Comps and Memory,market-intelligence,Compounding data and habit,87,XL,"Retention; expansion; differentiated paid value","Validate now; build next","Horizons 0 and 2","Percentage of material market assumptions with approved supporting evidence","Cactus 2.0 current-product Market Analysis adoption","Design partners select approved comps faster and reuse private comps before source or asset-class expansion","Data licenses; entity resolution; freshness; source metadata; firm-memory schema"
2,5,Model Studio — Formula-Aware Excel Roundtrip,model-studio,Defensible underwriting core,89,XL,"Enterprise ACV; pilot conversion; expansion","Technical spike now; supported subset next","Horizons 0 and 2","Percentage of pilot models tying out within agreed tolerance","Cactus 2.0 current-product Excel extraction usage and reliability","At least 80% of selected pilot workbooks tie out; zero silent unsupported failures","Workbook parser; model schema; formula boundaries; template registry; security"
6,6,Enterprise Workflow — Integrations Roles and Governance,enterprise-workflow,Enterprise and segment expansion,83,L,"Higher ACV; multi-user deployment; expansion","Design council now; build next","Horizon 2","Enterprise pilots reaching multi-user production deployment","Cactus 2.0 current-product invitation and collaboration evidence","Qualified enterprise design partners progress from champion-only use to measurable multi-user production","Tenant identity; roles; audit; SSO; connector framework; API jobs"
7,7,Scenario Lab — Conversational Sensitivity With Controls,scenario-lab,Defensible underwriting core,80,L,"Engagement; retention; seat expansion","Instrument now; build next","Horizon 2","Scenario completion without analyst support","Cactus 2.0 current-product chat behavior; dedicated scenario events are missing","At least 70% of validated common scenario requests complete without analyst help and within agreed quality limits","Model parameter schema; calculation engine; validation; versioning; Sage action contract"
10,8,Decision Packages — Source-Linked IC Lender and Client Outputs,decision-packages,Defensible underwriting core,71,M,"Workflow completion; collaboration; expansion","Concierge validation; productize later","Horizon 3","Median time from approved underwriting to shared decision package","Cactus 2.0 current-product share evidence; package workflow is under-instrumented","Twenty concierge packages establish the common 80%; product slice cuts creation time at least 50% with zero unsupported claims","Approved deal state; risk flags; scenario data; source links; permissions; document generation"
8,9,Development Underwriter — Cost Draw and Stabilization,development-underwriter,Enterprise and segment expansion,77,XL,"New segment ARR","Paid beta later","Horizon 3","Development models completed and approved without offline rebuild","Cactus 2.0 current-product technical-failure evidence; active cohort remains unproven","Five to eight paid or committed design partners complete and approve the narrow archetype without offline rebuild","Schedule engine; model relationships; permissions; debt model; Excel export"
9,10,Commercial Lease Intelligence — Multi-Tenant Underwriting,commercial-lease-intelligence,Enterprise and segment expansion,72,XL,"New asset-class ARR","Narrow paid beta after validation","Horizon 4","Analyst hours to produce an approved tenant rollover schedule","Cactus 2.0 current-product rent-roll evidence; sample is very small","Segment selected from qualified pipeline; at least 500 leases benchmarked; accuracy threshold and paid commitments established before build","Document hierarchy; tenant resolution; recovery rules; schedule engine; export integration"
