opportunity_slug,product_version,metric,value,population,date_range,interpretation,snapshot_date,evidence_level
portfolio,Cactus 1.0,Cactus 1.0 external identified monthly active users,118 (2025-07) → 24 (2026-07 partial),Identified pageview users excluding known company-domain users,2025-07-01 to 2026-07-27,Legacy usage is declining during migration.,2026-07-27,legacy behavior benchmark
portfolio,Cactus 2.0,Cactus 2.0 external identified monthly active users,33 (2025-12) → 64 (2026-06); 52 (2026-07 partial),Identified pageview users excluding known company-domain users,2025-12-01 to 2026-07-27,Current-product adoption is rising but remains a small cohort.,2026-07-27,current-product behavior
guided-activation,Cactus 2.0,Signup to meaningful underwriting action within 14 days,91 / 329 users (27.7%),PostHog test-account-filtered users,2025-10-23 to 2026-07-27,Activation is the clearest adoption constraint.,2026-07-27,current-product behavior
guided-activation,Cactus 2.0,Identified-user weekly pageview retention,43.3% week 1 (26/60); 18.6% week 4 (8/43),Mature test-account-filtered first-pageview cohorts,2026-05-01 to 2026-07-27,"Repeat use exists, but sustained weekly engagement remains limited and cohorts are small.",2026-07-27,current-product behavior
trust-center-v2,Cactus 2.0,Extraction initiation to completion within one day,29 / 34 users (85.3%); median 40.8s,PostHog test-account-filtered users,2026-02-23 to 2026-07-27,Completion is healthy but remaining failures and review quality matter.,2026-07-27,current-product behavior
trust-center-v2,Cactus 2.0,Confidence verification quality,"0.766 average confidence; 948.8 source matches / 1,362.1 verified facts per run",710 confidence verification completion events,2026-02-23 to 2026-07-27,Exception-first review should focus users on the unsupported or uncertain minority.,2026-07-27,current-product behavior
market-intelligence-memory,Cactus 2.0,Market-analysis chat adoption,"1,415 messages; 85 users; 50 organizations",External users excluding known company-domain users,2025-10-23 to 2026-07-27,Market analysis is the broadest verified current workflow.,2026-07-27,current-product behavior
instant-deal-screen,Cactus 1.0,Legacy Quick Analysis adoption,"100,593 pageviews; 215 users; 467.9 views per user",External identified users,2025-07-27 to 2026-07-27,High-intensity screening behavior should be deliberately migrated into 2.0.,2026-07-27,legacy behavior benchmark
model-studio-excel-bridge,Cactus 2.0,Excel extraction outcomes,327 success / 342 completions (95.6%); 31 users; 147.6s average success latency,All Excel extraction completion events,2026-02-23 to 2026-07-27,"Meaningful usage exists, but reliability and latency remain product risks.",2026-07-27,current-product behavior
scenario-lab,Cactus 2.0,Chat response completion within ten minutes,90 / 106 users (84.9%); median 2.1s; average 16.2s,PostHog test-account-filtered users,2025-10-23 to 2026-07-27,Conversational behavior is viable; safe scenario controls remain unmeasured.,2026-07-27,current-product behavior
enterprise-workflow-governance,Cactus 2.0,Organization invitation adoption,36 sent / 23 accepted; 18 sending / 15 accepting organizations,All organization invitation events,2025-10-23 to 2026-07-27,Collaboration exists but is still early.,2026-07-27,current-product behavior
commercial-lease-intelligence,Cactus 2.0,Rent-roll trigger to completion within thirty minutes,2 / 4 users (50%); median 74.9s,PostHog test-account-filtered users,2026-04-28 to 2026-07-27,The sample is too small to justify a broad commercial build.,2026-07-27,current-product behavior
