metric_key,product_version,definition,calculation,window,known_limitations
c1_external_identified_mau,Cactus 1.0,Monthly unique identified external users with a pageview,Unique identified external users,Calendar month,Excludes known company-domain users; July 2026 is partial; migration affects trend interpretation.
c2_external_identified_mau,Cactus 2.0,Monthly unique identified external users with a pageview,Unique identified external users,Calendar month,Excludes known company-domain users; July 2026 is partial; users may overlap with Cactus 1.0.
c2_signup_to_meaningful_action_14d,Cactus 2.0,"Signup followed by chat submission, extraction start, or template creation",Users reaching any meaningful action / signup users,14 days after signup,Uses configured test-account filtering; not joined to billing or paid conversion.
c2_identified_pageview_retention,Cactus 2.0,Return pageview activity among mature identified-user cohorts,Returning identified users / eligible cohort,Week 1 and week 4,Small cohorts; pageviews do not prove completion of an underwriting outcome.
c2_extraction_completion_1d,Cactus 2.0,Extraction initiation followed by extraction completion,Users completing extraction / users starting extraction,1 day,"Measures completion, not material accuracy or reviewer approval."
c2_confidence_verification_quality,Cactus 2.0,Aggregate confidence and source-match output from confidence-verification completions,Event-level averages,Per completion event,Technical output metric; does not equal escaped-error rate.
c2_market_analysis_chat_adoption,Cactus 2.0,"Submitted Market Analysis chat messages, distinct external users, and organizations",Message and distinct-entity counts,Snapshot date range,Broad workflow adoption signal; not a retained-account or revenue metric.
c1_quick_analysis_adoption,Cactus 1.0,Identified external Quick Analysis pageviews and users,Pageviews and unique identified external users,Trailing 12 months,Legacy habit benchmark; route/event parity with Cactus 2.0 is directional.
c2_excel_extraction_outcomes,Cactus 2.0,Excel extraction completion events grouped by success outcome,Successful completions / all completions,Snapshot date range,Event-level success; does not prove workbook tie-out or formula fidelity.
c2_chat_response_completion_10m,Cactus 2.0,Chat submission followed by assistant completion,Submitting users receiving a completion / submitting users,10 minutes,Does not isolate Sage-led onboarding or scenario correctness.
c2_organization_invitation_adoption,Cactus 2.0,Organization invitation sent and accepted events,Event and organization counts,Snapshot date range,Sent and accepted events are not joined by invitation identifier.
c2_rent_roll_completion_30m,Cactus 2.0,Rent-roll trigger followed by completion,Users completing / users triggering,30 minutes,Very small sample; insufficient for a broad commercial build decision.
